query_id,order,owner,mapper_path,statement_id,sql_sha256,tenant_scope,store_scope,current_row_cap,current_call_pattern,risk_class
INV-FEFO,1,Inventory,server/ruoyi-modules/jshpos-inventory/src/main/resources/mapper/inventory/LotInventoryMapper.xml,lockFefoCandidates,d40cf62130c454ff3e867096bf539359d31b23a2df6978d76e68feb4b400ecca,REQUIRED,WAREHOUSE_SKU,100,ONE_PER_SALE_ALLOCATION,LOCK_RANGE_PLAN
INV-EXPIRY,2,Inventory,server/ruoyi-modules/jshpos-inventory/src/main/resources/mapper/inventory/LotInventoryMapper.xml,findNearExpiry,4af31cfd5777a8098ccb6b210133b90a1557e3e6556890f2f3179ad65b79833c,REQUIRED,STORE_WAREHOUSE,500,ONE_QUERY_PLUS_POLICY_LOOKUP_PER_ROW,N_PLUS_ONE_AND_RANGE
INV-PACKAGE,3,Inventory,server/ruoyi-modules/jshpos-inventory/src/main/resources/mapper/inventory/LotInventoryMapper.xml,findPackageLots,8f6ec3d645bf0f365f6a5a2e1983ebf271ae74d08093666bab381413e3887981,REQUIRED,STORE_WAREHOUSE,100001,ONE_PER_PACKAGE_BUILD,LARGE_RANGE_AND_SORT
PRM-RULES,4,Promotion,server/ruoyi-modules/jshpos-promotion/src/main/resources/mapper/promotion/PromotionPersistenceMapper.xml,listPublishedRules,5103734950a8820dc3377b322d1b23e86d7bcb84c8ef7bec4411dedc7e1e0f34,REQUIRED,POST_QUERY_SCOPE_FILTER,NONE,ONE_PER_QUOTE,CORRELATED_SUBQUERY_AND_TIME_RANGE
PRM-QUOTE-LINES,5,Promotion,server/ruoyi-modules/jshpos-promotion/src/main/resources/mapper/promotion/PromotionPersistenceMapper.xml,listQuoteLines,4642f9b4e38dd178a42f6c649f7c416cc65a32520ead137c03a927dce25e8896,REQUIRED,QUOTE,NONE,ONE_PER_OPERATION,DOCUMENT_LINE_LOOKUP
RPT-SALES,6,Reporting,server/ruoyi-modules/jshpos-reporting/src/main/resources/mapper/reporting/ReportingPersistenceMapper.xml,querySales,0b6227330461a265a45619bdd333093e611fd0456a94fdc43d48d373cd702cf4,REQUIRED,STORE_AND_31_DAYS,NONE,INTERACTIVE_ONCE_EXPORT_ONCE_PER_STORE,UNPAGED_AND_EXPORT_N_PLUS_ONE
RPT-INVENTORY,7,Reporting,server/ruoyi-modules/jshpos-reporting/src/main/resources/mapper/reporting/ReportingPersistenceMapper.xml,queryInventoryCost,316e28301946e57bd138724272875e176f3255a4f14fbb3a7c0a9ab58dcc4595,REQUIRED,STORE_AND_31_DAYS,NONE,INTERACTIVE_ONCE_EXPORT_ONCE_PER_STORE,UNPAGED_AND_EXPORT_N_PLUS_ONE
RPT-PAY-REC,8,Reporting,server/ruoyi-modules/jshpos-reporting/src/main/resources/mapper/reporting/PaymentReconciliationMapper.xml,query,7562de6d4e0698f16f94a30bc27db9a7c75df8cffe319140375576360741709d,REQUIRED,STORE_AND_31_DAYS,NONE,INTERACTIVE_ONCE_EXPORT_ONCE_PER_STORE,UNPAGED_AND_EXPORT_N_PLUS_ONE
PAY-FACTS,9,Payment,server/ruoyi-modules/jshpos-payment/src/main/resources/mapper/payment/PaymentMapper.xml,findInternalFacts,afb04a1747beb2f4325c25257d583251ff7684505d3ca4c8ea2c63d536ca3352,REQUIRED,PROVIDER_AND_ONE_DAY,NONE,ONE_RANGE_QUERY_PLUS_REFERENCE_LOOKUP_PER_ENTRY,UNION_RANGE_AND_N_PLUS_ONE_JOURNEY
PUR-LINES,10,Procurement,server/ruoyi-modules/jshpos-procurement/src/main/resources/mapper/procurement/ProcurementMapper.xml,findOrderLines,0597764793f938d49c4dcd816b3bfac49f73a34342fbceb7057d738eabb601de,REQUIRED,ORDER,NONE,ONE_PER_ORDER_DETAIL,DOCUMENT_LINE_LOOKUP
TRF-LINES,11,Transfer,server/ruoyi-modules/jshpos-transfer/src/main/resources/mapper/transfer/TransferMapper.xml,findLines,3fa73505b0d17b06e8d510233f3d7b0bc2bee58abc8cdb9c3bf7d9195ae961da,REQUIRED,TRANSFER,NONE,ONE_PER_COMMAND_OR_DETAIL,DOCUMENT_LINE_LOOKUP
MBR-POINTS-FEFO,12,Member,server/ruoyi-modules/jshpos-member/src/main/resources/mapper/member/PointsPersistenceMapper.xml,listFefoAvailableLots,ba096b1e3e4a24c4979a031e6111a6ba856a901606bbb204914c91be318338e3,REQUIRED,MEMBER,NONE,ONE_LOCKING_QUERY_PER_POINTS_COMMAND,LOCK_RANGE_AND_NULL_SORT
