object_name,owner,access_strategy,sql_mode,authority,tenant_guard,mutation_boundary,status,notes
mbr_benefit_policy,Member,CRUD_ENTITY,HYBRID,PRIMARY_FACT,TRUSTED_CONTEXT,OWNER_APPLICATION_SERVICE,DRAFT_DESIGN_ONLY,策略头可变但不得承载版本内容
mbr_benefit_policy_version,Member,CONTROLLED_WRITE,HYBRID,PRIMARY_FACT,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,DRAFT_DESIGN_ONLY,批准后内容不可变
mbr_benefit_scope,Member,APPEND_ONLY,XML,PRIMARY_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,门店范围纳入版本摘要
mbr_benefit_level_mapping,Member,APPEND_ONLY,XML,PRIMARY_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,绑定等级历史与权益版本
mbr_entitlement_snapshot,Member,APPEND_ONLY,XML,PRIMARY_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,最小字段且禁止PII
mbr_benefit_state_event,Member,APPEND_ONLY,XML,AUDIT_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,状态迁移只追加
mbr_benefit_command,Member,CONTROLLED_WRITE,XML,IDEMPOTENCY_FACT,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,DRAFT_DESIGN_ONLY,同键异内容拒绝
mbr_benefit_audit_event,Member,APPEND_ONLY,XML,AUDIT_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,禁止记录PII
mbr_benefit_outbox,Member,CONTROLLED_WRITE,XML,DELIVERY_FACT,TRUSTED_CONTEXT,NAMED_DELIVERY_TRANSITION,DRAFT_DESIGN_ONLY,载荷与投递状态可拆分
prc_member_price_version,Pricing,CONTROLLED_WRITE,HYBRID,PRIMARY_FACT,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,DRAFT_DESIGN_ONLY,不得修改已发布V3范围约束
prc_member_price_item,Pricing,APPEND_ONLY,XML,PRIMARY_FACT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,发布版本内容不可变
prm_transaction_member_binding,Promotion,APPEND_ONLY,XML,TRANSACTION_SNAPSHOT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,冻结路径与解释摘要
ord_member_benefit_binding,Order,APPEND_ONLY,XML,TRANSACTION_SNAPSHOT,TRUSTED_CONTEXT,OWNER_COMMAND,DRAFT_DESIGN_ONLY,订单只保存不可逆引用
local_member_benefit_package,POS,CONTROLLED_WRITE,SQLITE,LOCAL_PROJECTION,TRUSTED_TERMINAL_CONTEXT,ATOMIC_PACKAGE_SWITCH,DRAFT_DESIGN_ONLY,签名包原子切换
local_order_member_benefit_snapshot,POS,APPEND_ONLY,SQLITE,LOCAL_TRANSACTION_FACT,TRUSTED_TERMINAL_CONTEXT,LOCAL_SETTLEMENT_TRANSACTION,DRAFT_DESIGN_ONLY,与订单现金Outbox同事务
