object_name,owner,access_strategy,sql_mode,tenant_guard,mutation_boundary,migration
mbr_benefit_policy,Member,CRUD_ENTITY,HYBRID,TRUSTED_CONTEXT,OWNER_APPLICATION_SERVICE,V75
mbr_benefit_version,Member,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,V75
mbr_benefit_scope,Member,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V75
mbr_benefit_level_mapping,Member,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V75
mbr_entitlement_snapshot,Member,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V75
mbr_benefit_state_event,Member,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V75
mbr_benefit_command,Member,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,V75
mbr_benefit_audit_event,Member,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V75
mbr_benefit_outbox,Member,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_DELIVERY_TRANSITION,V75
prc_member_price_version,Pricing,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,V77
prc_member_price_item,Pricing,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V77
prc_member_price_command,Pricing,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_STATE_TRANSITION,V77
prc_member_price_outbox,Pricing,CONTROLLED_WRITE,XML,TRUSTED_CONTEXT,NAMED_DELIVERY_TRANSITION,V77
prm_quote_member_benefit,Promotion,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V78
prm_member_benefit_package,Promotion,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V80
ord_member_benefit_binding,Order,APPEND_ONLY,XML,TRUSTED_CONTEXT,OWNER_COMMAND,V79
local_member_benefit_package,POS,CONTROLLED_WRITE,SQLITE,TRUSTED_TERMINAL_CONTEXT,ATOMIC_PACKAGE_SWITCH,v16
local_member_benefit_package_binding,POS,CONTROLLED_WRITE,SQLITE,TRUSTED_TERMINAL_CONTEXT,ATOMIC_PACKAGE_SWITCH,v16
local_member_benefit_level,POS,IMMUTABLE_PACKAGE_SLOT,SQLITE,TRUSTED_TERMINAL_CONTEXT,ATOMIC_PACKAGE_SWITCH,v16
local_member_price_item,POS,IMMUTABLE_PACKAGE_SLOT,SQLITE,TRUSTED_TERMINAL_CONTEXT,ATOMIC_PACKAGE_SWITCH,v16
local_promotion_quote_member_benefit,POS,APPEND_ONLY,SQLITE,TRUSTED_TERMINAL_CONTEXT,LOCAL_QUOTE_TRANSACTION,v16
local_order_member_benefit_snapshot,POS,APPEND_ONLY,SQLITE,TRUSTED_TERMINAL_CONTEXT,LOCAL_SETTLEMENT_TRANSACTION,v16
