object_name,owner,access_strategy,sql_mode,authority_guard,mutation_boundary,migration
saas_plan,SaaS,CRUD_ENTITY,MP,PLATFORM_ADMIN,OWNER_APPLICATION_SERVICE,V81
saas_merchant_application,SaaS,CONTROLLED_WRITE,XML,PLATFORM_ADMIN,NAMED_STATE_TRANSITION,V81
saas_application_state_event,SaaS,APPEND_ONLY,XML,PLATFORM_ADMIN,OWNER_COMMAND,V81
saas_entitlement_version,SaaS,CONTROLLED_WRITE,XML,PLATFORM_ADMIN,NAMED_STATE_TRANSITION,V81
saas_entitlement_item,SaaS,APPEND_ONLY,XML,PLATFORM_ADMIN,OWNER_COMMAND,V81
saas_tenant_entitlement,SaaS,CONTROLLED_WRITE,XML,TRUSTED_TENANT_OR_PLATFORM_ADMIN,NAMED_LIFECYCLE_TRANSITION,V81
saas_tenant_lifecycle_event,SaaS,APPEND_ONLY,XML,TRUSTED_TENANT_OR_PLATFORM_ADMIN,OWNER_COMMAND,V81
saas_initialization_checkpoint,SaaS,APPEND_ONLY,XML,PLATFORM_ADMIN,SAGA_CHECKPOINT,V81
saas_command_result,SaaS,APPEND_ONLY,XML,AUTHORITY_SCOPE,IDEMPOTENT_COMMAND,V81
saas_quota_usage,SaaS,CONTROLLED_WRITE,XML,TRUSTED_TENANT,ATOMIC_CONDITIONAL_UPDATE,V81
saas_audit_event,SaaS,APPEND_ONLY,XML,AUTHORITY_SCOPE,OWNER_COMMAND,V81
saas_outbox,SaaS,CONTROLLED_WRITE,XML,AUTHORITY_SCOPE,NAMED_DELIVERY_TRANSITION,V81
sys_tenant,Foundation,CONTROLLED_WRITE,FORMAL_PORT,PLATFORM_ADMIN,TENANT_PROVISIONING_PORT,EXISTING_PLATFORM_SCHEMA
sys_menu,Foundation,PLATFORM_CONFIGURATION,FLYWAY,PLATFORM_ADMIN,FORWARD_PERMISSION_SEED,V82
